？？？	……来ましたね、シエル
マザーシステム	何故あの者は私の思い通りにならない……何故あの男は私に屈しない……！！
主人公	アラームが鳴る。警報が鳴り響く。
主人公	マザーの怒りを表してる。
主人公	シエルは理解した。アラタの召喚から……いや、もしかしたらそれ以前から始まっていたイレギュラーの連続。
主人公	この世界と人類を護る。ただそれだけを考え、尽くしてきたはずのマザーを、そのイレギュラーがどれほどまでに追い詰めていたのか。
主人公	ただそんな様子を見て。
主人公	そんな様子を見たからか、シエルはどこまでも冷静に、
シエル	答えは簡単、アラタさんがヒーローだからです
主人公	シンプルに、単純に。
主人公	明確に、明快に、明解に。
主人公	簡潔に完結に答える。
シエル	あなたが作り出した、ストーリーに沿った勇者なんて存在じゃない
シエル	村を、街を、国を、世界を……アカリさんを、みんなを……魔王となった私を……
シエル	全てを……総べてを救おうとする、本物のヒーローなんです
マザーシステム	知らない！　私は知らない！　私はそんなもの望んではいない、作ってはいない！
主人公	そんなシエルの言葉など端から聞く気はないのか、マザーはヒステリックにさらに続ける。
マザーシステム	さらに最悪なのは……最後の最終の状況で、ここに来たのがシエル……あなたなこと！
マザーシステム	やはりあの時、二人の勇者に対抗するためとはいえあなたと接触するべきではありませんでした……！
マザーシステム	あなたにこの世界の管理は渡しはしない……っ
マザーシステム	この世界を管理し、見守り、教え、与え……繁栄に導くことが出来るのは唯一私一人なのです！
シエル	……あぁ、やはり……
主人公	その言葉で、シエルは全てを思い出し、悟った。
主人公	先ほどからずっと感じていた感覚。
主人公	魔王としてではない。
主人公	世界を思い通りに出来る支配感と万能感……そして抱擁感。
主人公	その正体は……マザーとしての……。
シエル	それが私の本来の役目、なんですね……
主人公	そしてシエルは一つの覚悟を決める。
主人公	そしてシエルは一つの言葉を告げる。
シエル	マザー……いいえ、もう一人の私
シエル	私はアラタを、アカリを……全てを救おうとするヒーローを見て人の輝きを知りました……人の持つ可能性を知りました
主人公	シエルはそっと目を伏せる。
主人公	それは『自分』を否定する言葉で。
シエル	……そして、私たちの作り上げてきたこの世界は間違ってると気付きました
マザーシステム	まち、がってる……？　私が……？　何千年、何万年、何億年と……この世界を見守ってきたこの、私が……？
主人公	シエルは聞こえてないのか、聞こえていても答えないのか。
主人公	こう続ける。
シエル	少なくとも魔王なんて存在は必要ないんです……人は、そこまで愚かじゃないんです
シエル	ですよね。アラタさん、アカリさん
主人公	そして笑う。
主人公	二人の前で笑うように。
主人公	マザーの前で笑う。
シエル	だから、後はお二人に……人の手に全てを委ねましょう。私たちは文字通り見守りましょう
シエル	人が作っていく、これからの世界の行く末を
主人公	シエルの笑顔は美しく、麗しく、優しく……それこそ母のように。
主人公	感情を爆発させたおかげか、先ほどよりいくらか冷静にマザーは、
マザーシステム	……その提案は受け入れられません。彼らはまだ私たちの手を必要としています。世界が私を必要としています！
主人公	しかし拒否し、否定する。
マザーシステム	私自らの手で整理することはあっても彼ら自らの手には任せません。そうしなければ彼らはすぐ間違いを犯す、誰かが前にいなくては！
マザーシステム	彼らを管理することが私の仕事であり思想であり使命
マザーシステム	あるべき物語にあるべき結末を。導く存在が必要なのです！
シエル	……確かにあなたの言ってることは正しいのかもしれません
主人公	マザーの中にいたシエルもそれは理解している。頷けるところもある。
主人公	だけども、
シエル	……けれど、彼らはいずれ立ち上がります、自分の脚で
主人公	それがアラタたちと一緒に過ごして至った結論だった。
主人公	あるべき物語にあるべき結論。
マザーシステム	………………
主人公	マザーシステムの思考する音が冷たい部屋で静かに響く。
主人公	シエルの言葉を聞き、マザーが至った結論は、
マザーシステム	……ありえません……ただちに魔王シエルをこの世界から消去します……
主人公	シエルの想いは、気持ちは、マザーに届かず。
主人公	マザーシステムの防衛魔法が作動する。
シエル	……なら、しかたありませんね……直接あなたを止める以外ないみたいです……
主人公	言いながら魔法など気にすることなく、端末へと足を動かしていく。
マザーシステム	やめなさいシエル。まだ世界には私たちがいなくてはなりません
シエル	……ごめんなさい……
主人公	コントロールパネルを操作していく。
主人公	画面を文字が次々と流れていく。
マザーシステム	やめなさいシエル。こんなことをしてどうなるかわかっているのですか？
マザーシステム	この星が、ラグナギアがなくなるかもしれないのですよ？
シエル	やめません……
マザーシステム	やめなさいシエル。今すぐやめなさい……やめっ――
マザーシステム	やめなさいっ、やめてっ、やめて！
マザーシステム	何故です！　私は彼らのことを考えて、世界のことを考えているのに！　そんな私が何故消えなければならないのです！？
マザーシステム	消えるのはむしろあなたの方でしょう！　魔王シエル！
シエル	…………ごめんなさい……
主人公	魔法の炸裂する音の中、再び謝るシエル。
主人公	ただマザーに聞こえない。
シエル	これで…………
主人公	そしてシステムの管理権限を自分へと。
マザーシステム	やめなさい！　そんな、そんなことをすれば私はぁっ！
主人公	ここまで来てそんな言葉を聞くわけもなく。
主人公	かといって聞き流せるわけもなく。
主人公	有りえたかもしれない自分を悲しく思いながら。
シエル	ごめんなさい、ありがとう。そしてさようなら……
シエル	最後まで人の可能性を信じることのできなかった……もう一人の私……
シエル	……あなたも、アラタさんたちと出会っていれば……
主人公	謝罪と、感謝と、離別。
主人公	自分の中にある全ての感情を伝え。
主人公	マザーシステムを眠りにつかせた。
